,name,height,weight,collage,born,birth_city,birth_state
720,Erik Murphy,208,104,University of Florida,1990,Lyon,France
721,Toure' Murry,196,88,Wichita State University,1989,Houston,Texas
722,Mike Muscala,211,108,Bucknell University,1991,St. Louis Park,Minnesota
723,Nemanja Nedovic,190,87,,1991,Nova Varos,Serbia
724,James Nunnally,201,92,"University of California, Santa Barbara",1990,San Jose,California
725,Victor Oladipo,193,95,Indiana University,1992,Silver Spring,Maryland
726,Kelly Olynyk,213,107,Gonzaga University,1991,Toronto,Canada
727,Arinze Onuaku,206,115,Syracuse University,1987,Lanham,Maryland
728,Mason Plumlee,211,111,Duke University,1990,Fort Wayne,Indiana
729,Otto Porter,203,89,Georgetown University,1993,St. Louis,Missouri
730,Phil Pressey,180,79,University of Missouri,1991,Dallas,Texas
731,Miroslav Raduljica,213,113,,1988,Belgrade,Serbia
732,Dennis Schroder,185,78,,1993,Braunschweig,Germany
733,Peyton Siva,183,83,University of Louisville,1990,Seattle,Washington
734,Tony Snell,201,90,University of New Mexico,1991,Riverside,California
735,James Southerland,203,97,Syracuse University,1990,Queens,New York
736,D.J. Stephens,203,97,,1990,,
737,Adonis Thomas,201,90,University of Memphis,1993,Memphis,Tennessee
738,Hollis Thompson,203,93,Georgetown University,1991,Pasadena,California
739,Casper Ware,178,79,"California State University, Long Beach",1990,Cerritos,California
740,Jeff Withey,213,104,University of Kansas,1990,San Diego,California
741,Nate Wolters,193,86,South Dakota State University,1991,St. Cloud,Minnesota
742,Cody Zeller,213,108,Indiana University,1992,Washington,Indiana
743,Jordan Adams,196,94,"University of California, Los Angeles",1994,Atlanta,Georgia
744,Furkan Aldemir,208,108,,1991,Konak,Turkey
745,Kyle Anderson,206,104,"University of California, Los Angeles",1993,New York,New York
746,Cameron Bairstow,206,113,University of New Mexico,1990,Brisbane,Australia
747,Jerrelle Benimon,203,111,Towson University,1991,Warrenton,Virginia
748,Sim Bhullar,226,163,New Mexico State University,1992,Ontario,Canada
749,Tarik Black,206,113,University of Kansas,1991,Memphis,Tennessee
750,Bojan Bogdanovic,198,92,,1992,Belgrade,Serbia
751,Jabari Brown,193,97,University of Missouri,1992,Oakland,California
752,Bruno Caboclo,206,98,,1995,Osasco,Brazil
753,Clint Capela,206,98,,1995,,
754,Will Cherry,183,83,University of Montana,1991,Oakland,California
755,Patrick Christopher,196,94,University of California,1988,Compton,California
756,Jordan Clarkson,196,87,University of Missouri,1992,Tampa,Florida
757,Jack Cooley,206,117,University of Notre Dame,1991,Evanston,Illinois
758,Bryce Cotton,185,74,Providence College,1992,Tucson,Arizona
759,Andre Dawkins,196,97,Duke University,1991,Fairfax,Virginia
760,Spencer Dinwiddie,198,90,University of Colorado,1993,Los Angeles,California
761,Zoran Dragic,196,90,,1989,Ljubljana,Slovenia
762,Cleanthony Early,203,95,Wichita State University,1991,Middletown,New York
763,James Ennis,201,95,"California State University, Long Beach",1990,Ventura,California
764,Tyler Ennis,190,87,Syracuse University,1994,Brampton,Canada
765,Dante Exum,198,86,,1995,Melbourne,Australia
766,Tim Frazier,185,77,Pennsylvania State University,1990,Houston,Texas
767,Langston Galloway,188,90,Saint Joseph's University,1991,Baton Rouge,Louisiana
768,Aaron Gordon,206,99,University of Arizona,1995,San Jose,California
769,Drew Gordon,206,111,University of New Mexico,1990,San Jose,California
770,Jerami Grant,203,95,Syracuse University,1994,Portland,Oregon
771,Erick Green,193,83,Virginia Polytechnic Institute and State University,1991,Inglewood,California
772,JaMychal Green,206,102,University of Alabama,1990,Montgomery,Alabama
773,P.J. Hairston,206,102,,1990,,
774,Gary Harris,193,95,Michigan State University,1994,Fishers,Indiana
775,Joe Harris,198,99,University of Virginia,1991,Chelan,Washington
776,Rodney Hood,203,93,Duke University,1992,Meridian,Mississippi
777,Joe Ingles,203,102,,1987,Happy Valley,Australia
778,Cory Jefferson,206,98,Baylor University,1990,Tacoma,Washington
779,Grant Jerrett,208,106,University of Arizona,1993,Costa Mesa,California
780,Nick Johnson,190,91,University of Arizona,1992,Tempe,Arizona
781,Tyler Johnson,193,84,"California State University, Fresno",1992,Grand Forks,North Dakota
782,Sean Kilpatrick,193,95,University of Cincinnati,1990,Yonkers,New York
783,Alex Kirk,213,111,University of New Mexico,1991,Los Alamos,New Mexico
784,Joffrey Lauvergne,211,99,,1991,Mulhouse,France
785,Zach LaVine,196,85,"University of California, Los Angeles",1995,Renton,Washington
786,Kalin Lucas,185,88,Michigan State University,1989,Sterling Heights,Michigan
787,Devyn Marble,198,90,University of Iowa,1992,Southfield,Michigan
788,James Michael,198,90,,1992,,
789,K.J. McDaniels,198,90,,1992,,
790,Doug McDermott,203,102,Creighton University,1992,Grand Forks,North Dakota
791,Mitch McGary,208,115,University of Michigan,1992,Chesterton,Indiana
792,Jerel McNeal,190,90,Marquette University,1987,Chicago,Illinois
793,Elijah Millsap,198,102,University of Alabama at Birmingham,1987,Grambling,Louisiana
794,Nikola Mirotic,208,99,,1991,Podgorica,Montenegro
795,Eric Moreland,208,107,Oregon State University,1991,Houston,Texas
796,Shabazz Napier,185,79,University of Connecticut,1991,Roxbury,Massachusetts
797,Nerlens Noel,211,103,University of Kentucky,1994,Malden,Massachusetts
798,Lucas Nogueira,213,109,,1992,Sao Goncalo,Brazil
799,Jusuf Nurkic,213,127,,1994,Tuzla,Bosnia and Herzegovina
800,Johnny O'Bryant,206,116,Louisiana State University,1993,Cleveland,Mississippi
